alu	?Are?are
mby	Memoni
xkd	Mendalam Kayan
mfd	Mendankwe-Nkwen
men	Mende
xmg	Mengaka
mee	Mengen
mct	Mengisa
mea	Menka
mez	Menominee
mwv	Mentawai
mcr	Menya
mvx	Meoswar
mnu	Mer
mxm	Meramera
lmb	Merei
meq	Merey
ulk	Meriam
mrm	Merlav
xmr	Meroitic
mer	Meru
iyo	Mesaka
mci	Mese
zim	Mesme
mys	Mesmes
mvz	Mesqan
cms	Messapic
mgo	Meta'
mxv	Metlat?noc Mixtec
wtm	Mewati
mfs	Mexican Sign Language
mej	Meyah
pbe	Mezontla Popoloca
ote	Mezquital Otomi
zmf	Mfinu
nfu	Mfumte
mic	Mi'kmaq
mia	Miami
mpt	Mian
pla	Miani
crg	Michif
cmm	Michigamea
mmc	Michoac?n Mazahua
ncl	Michoac?n Nahuatl
dnt	Mid Grand Valley Dani
bjo	Mid-Southern Banda
axm	Middle Armenian
xbm	Middle Breton
ltc	Middle Chinese
cnx	Middle Cornish
dum	Middle Dutch
enm	Middle English
frm	Middle French
gmh	Middle High German
htx	Middle Hittite
mga	Middle Irish
okm	Middle Korean
gml	Middle Low German
xng	Middle Mongolian
nwx	Middle Newar
gmq-mno	Middle Norwegian
pal	Middle Persian
mkh-mvi	Middle Vietnamese
mpl	Middle Watut
wlm	Middle Welsh
mei	Midob
mmy	Migaama
mpp	Migabac
sjl	Miji
mxj	Miju-Mishmi
mik	Mikasuki
ymh	Mili
mlj	Miltu
iml	Miluk
imy	Milyan
mnp	Min Bei
cdo	Min Dong
nan	Min Nan
czo	Min Zhong
inm	Minaean
xrg	Minang
min	Minangkabau
mcv	Minanibai
mvn	Minaveha
drc	Minderico
mpn	Mindiri
mko	Mingang Doso
iro-min	Mingo
xmf	Mingrelian
hto	Minica Huitoto
wii	Minidien
vmg	Minigir
xjb	Minjungbal
xxm	Minkin
omn	Minoan
mqq	Minokok
mnq	Minriq
mzt	Mintil
zgm	Minz Zhuang
yiq	Miqie
mwl	Mirandese
rbl	Miraya Bikol
mvh	Mire
zrg	Mirgan
mmv	Miriti
mep	Miriwung
pmu	Mirpur Panjabi
mjs	Miship
mpx	Misima-Paneati
mrg	Mising
miq	Miskito
zaw	Mitla Zapotec
vmm	Mitlatongo Mixtec
mwu	Mittu
zmq	Mituku
mpo	Miu
vmi	Miwa
mfg	Mixifore
mix	Mixtepec Mixtec
zpm	Mixtepec Zapotec
mkf	Miya
mvi	Miyako
soy	Miyobe
lus	Mizo
mra	Mlabri
lhs	Mlahs?
kja	Mlap
mlo	Mlomp
mmu	Mmaala
bfm	Mmen
wkd	Mo
gbn	Mo'da
obm	Moabite
mfq	Moba
mod	Mobilian
ahm	Mobumrin Aizi
mhn	M?cheno
old	Mochi
omc	Mochica
mhc	Mocho
moc	Mocov?
mxd	Modang
mqo	Modole
mvq	Moere
mif	Mofu-Gudur
mhj	Mogholi
mou	Mogum
moh	Mohawk
xpq	Mohegan-Pequot
mow	Moi (Congo)
mxn	Moi (Indonesia)
mkp	Moikodi
mwz	Moingi
mov	Mojave
ymi	Moji
mqt	Mok
mwt	Moken
mft	Mokerang
mkj	Mokilese
mkm	Moklen
mkl	Mokole
bri	Mokpwe
vms	Moksela
mdf	Moksha
mbe	Molale
pwm	Molbog
vsi	Moldova Sign Language
bxc	Molengue
mox	Molima
svm	Molise Croatian
aun	Molmo One
zmo	Molo
msl	Molof
mlw	Moloko
ver	Mom Jango
myl	Moma
msz	Momare
dmb	Mombo Dogon
mso	Mombum
mmb	Momina
mqf	Momuna
mnw	Mon
mzg	Monastic Sign Language
mnd	Mond?
npn	Mondropolon
lol	Mongo
mgt	Mongol
mn	Mongolian
msr	Mongolian Sign Language
mog	Mongondow
mjg	Monguor
mnz	Moni
mom	Monimbo
mnr	Mono (California)
mru	Mono (Cameroon)
mnh	Mono (Congo)
moo	Monom
nmh	Monsang Naga
moe	Montagnais
fla	Montana Salish
mtl	Montol
mxk	Monumbo
moj	Monzombo
gwg	Moo
crm	Moose Cree
mop	Mopan Maya
msg	Moraid
mze	Morawa
mos	More
nhm	Morelos Nahuatl
xmo	Morerebi
msx	Moresada
mzq	Mori Atas
xmz	Mori Bawah
mdb	Morigi
mor	Moro
ary	Moroccan Arabic
xms	Moroccan Sign Language
mgc	Morokodo
bdo	Morom
mqn	Moronene
mok	Morori
mrp	Morouas
mrl	Mortlockese
mgd	Moru
mqv	Mosimo
mwy	Mosiro
mtj	Moskona
mtt	Mota
tmv	Motembo
meu	Motu
mwh	Mouk-Aria
kpx	Mountain Koiali
mzp	Movima
ity	Moyadan Itneg
nmo	Moyon Naga
mzy	Mozambican Sign Language
mxi	Mozarabic
mpi	Mpade
xpj	Mpalitjanh
mpz	Mpi
mcx	Mpiemo
mgg	Mpongmpong
mpa	Mpoto
mvt	Mpotovoro
zmp	Mpuono
akc	Mpur
cmr	Mro Chin
mro	Mru
kqx	Mser
atl	Mt. Iraya Agta
agz	Mt. Iriga Agta
mtd	Mualang
tsx	Mubami
mub	Mubi
ymd	Muda
dmw	Mudburra
gau	Mudhili Gadaba
vmd	Mudu Koraga
wiv	Muduapa
udg	Muduga
aoj	Mufian
muk	Mugom
bmr	Muinane
mmk	Mukha-Dora
moz	Mukulu
mfw	Mulaha
mlm	Mulam
kpb	Mullu Kurumba
mpb	Mullukmulluk
vmu	Muluridyi
kqa	Mum
mzm	Mumuye
mwq	M?n Chin
mnb	Muna
unx	Munda
boe	Mundabli
mua	Mundang
mnf	Mundani
unr	Mundari
mmf	Mundat
art-mun	Mundolinco
muh	M?nd?
myu	Munduruk?
mhk	Mungaka
mij	Mungbam
mth	Munggui
mpv	Mungkip
myr	Muniche
mtc	Munit
mnj	Munji
umu	Munsee
mtq	Muong
tkv	Mur Pano
asx	Muratayak
mxr	Murik (Malaysia)
mtf	Murik (New Guinea)
rmh	Murkim
mur	Murle
mwf	Murrinh-Patha
muz	Mursi
huu	Murui Huitoto
mqw	Murupi
zmu	Muruwari
mmq	Musak
mmp	Musan
mmi	Musar
smm	Musasa
mse	Musey
mug	Musgu
xma	Mushungulu
mui	Musi
mje	Muskum
msu	Musom
emi	Mussau-Emira
muv	Muthuvan
tuc	Mutu
mvm	Muya
muy	Muyang
myw	Muyuw
ymz	Muzi
mcj	Mvanip
mxh	Mvuba
wlc	Mwali Comorian
moa	Mwan
wmw	Mwani
mwa	Mwatebu
mwe	Mwera
mws	Mwimbi-Muthambi
mlv	Mwotlap
gmy	Mycenaean Greek
mye	Myene
yms	Mysian
nme	Mzieme Naga
nqo	N'Ko
nbt	Na
neo	N?-Meo
art-nav	Na'vi
nao	Naaba
mne	Naba
naf	Nabak
mty	Nabi
ncd	Nachering
mbj	Nad?b
ndf	Nadruvian
nfr	Nafaanra
srf	Nafi
nxx	Nafri
nag	Naga Pidgin
nbg	Nagarchal
nxe	Nage
ngr	Nagu
ngv	Nagumi
nlx	Nahali
nhh	Nahari
sns	Nahavaq
nah	Nahuatl
bio	Nai
ars	Najdi Arabic
nae	Naka'ela
nkj	Nakai
nib	Nakame
nak	Nakanai
nck	Nakara
nbk	Nake
mff	Naki
nax	Nakwi
nlc	Nalca
nss	Nali
nal	Nalik
nlz	Nal?go
naj	Nalu
ylo	Naluo Yi
naq	Nama
nmk	Namakura
nkm	Namat
nab	Nambikwara
ncm	Nambo
nmq	Nambya
nnm	Namia
nvm	Namiae
nbs	Namibian Sign Language
naa	Namla
mxw	Namo
nmt	Namonuito
bwb	Namosi-Naitasiri-Serua
nmy	Namuyi
gld	Nanai
nnc	Nancere
nnb	Nande
niq	Nandi
sen	Nanerig? S?noufo
nzz	Nanga Dama Dogon
nnk	Nankina
cox	Nanti
nnt	Nanticoke
afk	Nanubae
npy	Napu
npa	Nar Phu
nrb	Nara
nac	Narak
nrg	Narango
nxu	Narau
loh	Narim
nhr	Naro
nrm	Narom
xnt	Narragansett
nru	Narua
nnr	Narungga
nsy	Nasal
nvh	Nasarian
nas	Nasioi
nsk	Naskapi
ywq	Nasu
nts	Natagaimas
ntz	Natanzi
ais	Nataoran Amis
ncz	Natchez
ntm	Nateni
nte	Nathembo
nti	Natioro
ntu	Nat?gu
nxa	Nauete
ynk	Naukanski
ncn	Nauna
nwo	Nauo
na	Nauruan
nv	Navajo
roa-oan	Navarro-Aragonese
nsw	Navut
nwr	Nawaru
nwa	Nawathinehena
nmz	Nawdm
naw	Nawuri
nxq	Naxi
noz	Nayi
nyq	Nayini
ncr	Ncane
nlu	Nchumbulu
nnz	Nda'nda'
gke	Ndai
ndk	Ndaka
ncp	Ndaktup
ndh	Ndali
ndm	Ndam
ndj	Ndamba
nda	Ndasa
ndc	Ndau
ned	Nde-Gbite
ndd	Nde-Nsele-Nta
nml	Ndemli
dne	Ndendeule
ndg	Ndengereko
eli	Nding
ndp	Ndo
ndw	Ndobo
nbb	Ndoe
ndz	Ndogo
ndl	Ndolo
nqm	Ndom
ndq	Ndombe
njd	Ndonde Hamba
ng	Ndonga
ndr	Ndoola
ndx	Nduga
nmd	Ndumu
nuh	Ndunda
ndt	Ndunga
ndv	Ndut
njt	Ndyuka-Trio Pidgin
wni	Ndzwani Comorian
nap	Neapolitan
nec	Nedebang
nef	Nefamese
jbn	Nefusa
dcr	Negerhollands
zmi	Negeri Sembilan Malay
neg	Negidal
nsn	Nehan
nif	Nek
nkg	Nekgini
nej	Neko
nek	Neku
nex	Neme
nem	Nemi
nqn	Nen
anh	Nend
yrk	Nenets
nen	Nengone
neu	Neo
nei	Neo-Hittite
nsp	Nepalese Sign Language
ne	Nepali
kxl	Nepali Kurux
net	Nete
vnm	Neve'ei
jas	New Caledonian Javanese
nzs	New Zealand Sign Language
new	Newari
ney	Neyo
nez	Nez Perce
hlt	Nga La
ntj	Ngaanyatjarra
gym	Ng?bere
nxg	Ngad'a
nju	Ngadjunmaya
nnf	Ngaing
nij	Ngaju
nud	Ngala
nig	Ngalakan
ngk	Ngalkbun
szb	Ngalum
nmc	Ngam
nbv	Ngamambo
sba	Ngambay
nmv	Ngamini
nbh	Ngamo
nam	Ngan'gityemerri
xnk	Nganakarti
nio	Nganasan
nid	Ngandi
nne	Ngandyera
gng	Ngangam
ntg	Ngantangarra
nyx	Nganyaywana
rxd	Ngardi
xni	Ngarigu
nbj	Ngarinman
ung	Ngarinyin
nrk	Ngarla
nrl	Ngarluma
nay	Ngarrindjeri
nsg	Ngasa
ngm	Ngatik Men's Creole
cnw	Ngawn Chin
nxn	Ngawun
zdj	Ngazidja Comorian
nga	Ngbaka
nbm	Ngbaka Ma'bo
ngg	Ngbaka Manza
jgb	Ngbee
nbd	Ngbinda
nuu	Ngbundu
agh	Ngelima
nge	Ngemba
ngt	Ngeq
nnn	Ngete
nbq	Nggem
ngx	Nggwahyi
ngj	Ngie
nnh	Ngiemboon
jle	Ngile
nnq	Ngindo
niy	Ngiti
ngi	Ngizim
kcd	Ngk?lmpw Kanum
nra	Ngom
jgo	Ngomba
nla	Ngombale
nnx	Ngong
noq	Ngongo
ngo	Ngoni
ngq	Ngoreme
nsh	Ngoshie
nlo	Ngul
ngp	Ngulu
nuw	Nguluwan
nui	Ngumbi
xul	Ngunawal
ndn	Ngundi
nue	Ngundu
ngz	Ngungwel
nuo	Ngu?n
nrx	Ngurmbur
ngw	Ngwaba
nwe	Ngwe
ngn	Ngwo
nha	Nhanda
yrl	Nhengatu
hrp	Nhirrpi
nhf	Nhuwala
nia	Nias
bzk	Nicaraguan Creole
ncs	Nicaraguan Sign Language
nie	Niellim
mzk	Nigeria Mambila
pcm	Nigerian Pidgin
nsi	Nigerian Sign Language
nll	Nihali
nii	Nii
nad	Nijadali
gbe	Niksek
nil	Nila
nim	Nilamba
noe	Nimadi
nmp	Nimanbur
nmr	Nimbari
nir	Nimboran
nis	Nimi
niw	Nimo
nmw	Nimoa
shb	Ninam
nxi	Nindi
nby	Ningera
nxr	Ninggerum
niz	Ningil
nns	Ningye
nlk	Ninia Yali
nin	Ninzo
nps	Nipsan
njs	Nisa
nsz	Nisenan
ncg	Nisga'a
yso	Nisi
num	Niuafo'ou
nkp	Niuatoputapu
niu	Niuean
cag	Nivacl?
niv	Nivkh
hrc	Niwer Mil
njl	Njalgulgule
nzb	Njebi
njj	Njen
njr	Njerep
njy	Njyem
nkq	Nkami
nkn	Nkangala
nkz	Nkari
isi	Nkem-Nkum
khu	Nkhumbi
nkc	Nkongho
nko	Nkonya
nkx	Nkoroo
nka	Nkoya
nbo	Nkukoli
nkw	Nkutu
nbp	Nnam
fia	Nobiin
gaw	Nobonob
nom	Nocam?n
njb	Nocte Naga
nog	Nogai
noi	Noiri
nkk	Nokuku
lem	Nomaande
nof	Nomane
not	Nomatsiguenga
nol	Nomlaki
noh	Nomu
zhn	Nong Zhuang
noj	Nonuya
nok	Nooksack
snf	Noon
nhu	Noone
nuk	Nootka
cya	Nopala Chatino
nrc	Noric
roa-nor	Norman
nrn	Norn
nrr	Norra
esi	North Alaskan Inupiatun
mmg	North Ambrym
nks	North Asmat
yir	North Awyu
bcd	North Babar
neq	North Central Mixe
llp	North Efate
fll	North Fali
frr	North Frisian
gis	North Giziga
apc	North Levantine Arabic
mrq	North Marquesan
ayp	North Mesopotamian Arabic
mfk	North Mofu
max	North Moluccan Malay
kti	North Muyu
nni	North Nuaulu
nrp	North Picene
scs	North Slavey
tbg	North Tairora
tnn	North Tanna
whg	North Wahgi
una	North Watut
kiw	Northeast Kiwai
nmu	Northeast Maidu
aee	Northeast Pashayi
dip	Northeastern Dinka
pef	Northeastern Pomo
aqn	Northern Alta
atv	Northern Altai
ryn	Northern Amami-Oshima
bfc	Northern Bai
rbk	Northern Bontok
cts	Northern Catanduanes Bicolano
dgi	Northern Dagara
crl	Northern East Cree
emp	Northern Ember?
ghh	Northern Ghale
gno	Northern Gondi
gbo	Northern Grebo
huj	Northern Guiyang Hmong
hdn	Northern Haida
hno	Northern Hindko
hmi	Northern Huishui Hmong
nrt	Northern Kalapuya
xnn	Northern Kankanay
kxm	Northern Khmer
kqs	Northern Kissi
kmr	Northern Kurdish
lbr	Northern Lorung
lrc	Northern Luri
hmp	Northern Mashan Hmong
ymx	Northern Muji
nd	Northern Ndebele
ngb	Northern Ngbandi
yiv	Northern Nisu
nuv	Northern Nuni
nhy	Northern Oaxaca Nahuatl
cst	Northern Ohlone
onr	Northern One
pao	Northern Paiute
pmq	Northern Pame
pej	Northern Pomo
ncj	Northern Puebla Nahuatl
pmi	Northern Pumi
pww	Northern Pwo
hea	Northern Qiandong Miao
cng	Northern Qiang
nnl	Northern Rengma Naga
rog	Northern Roglai
se	Northern Sami
nsq	Northern Sierra Miwok
nso	Northern Sotho
stb	Northern Subanen
thh	Northern Tarahumara
ntp	Northern Tepehuan
nod	Northern Thai
xtn	Northern Tlaxiaco Mixtec
tsp	Northern Toussian
tji	Northern Tujia
ttm	Northern Tutchone
uzn	Northern Uzbek
ykg	Northern Yukaghir
esk	Northwest Alaska Inupiatun
gya	Northwest Gbaya
mjd	Northwest Maidu
mxa	Northwest Oaxaca Mixtec
glh	Northwest Pashayi
diw	Northwestern Dinka
faz	Northwestern Fars
kfb	Northwestern Kolami
ojb	Northwestern Ojibwa
tmk	Northwestern Tamang
no	Norwegian
nb	Norwegian Bokm?l
nn	Norwegian Nynorsk
nsl	Norwegian Sign Language
bly	Notre
ncf	Notsi
ntw	Nottoway
nwy	Nottoway-Meherrin
nov	Novial
art-nox	Noxilo
noy	Noy
asj	Nsari
nse	Nsenga
nsc	Nshi
nsx	Nsongo
bud	Ntcham
nto	Ntomba
dgt	Ntra'ngith
baf	Nubaca
kcn	Nubi
kte	Nubri
nus	Nuer
nur	Nuguria
noc	Nuk
mbr	Nukak Mak?
klt	Nukna
nuc	Nukuini
nuq	Nukumanu
nnv	Nukunu
xnu	Nukunul
nkr	Nukuoro
nbr	Numana-Nunku-Gbantu-Numbu
nop	Numanggang
sij	Numbami
tgs	Nume
kdk	Numee
nxm	Numidian
nut	Nung
nug	Nungali
nuy	Nunggubuyu
rin	Nungu
npb	Nupbikha
nup	Nupe
hux	N?pode Huitoto
nul	Nusa Laut
nuf	Nusu
nwb	Nyabwa
nev	Nyaheun
cbn	Nyahkur
nyy	Nyakyusa
yly	Ny?layu
nlj	Nyali
nmi	Nyam
nly	Nyamal
now	Nyambo
nwm	Nyamusa-Molo
mwn	Nyamwanga
nym	Nyamwezi
nyk	Nyaneka
nyp	Nyang'i
nyj	Nyanga
nyc	Nyanga-li
nnj	Nyangatom
nyb	Nyangbo
nny	Nyangga
nna	Nyangumarta
nyn	Nyankole
mjh	Nyanza
sev	Nyarafolo Senoufo
mgs	Nyasa
rim	Nyaturu
nyw	Nyaw
nyt	Nyawaygi
nba	Nyemba
nye	Nyengo
neh	Nyenkha
nyl	Nyeu
nyh	Nyigina
nih	Nyiha
nkt	Nyika
nyi	Nyimang
lid	Nyindrou
nyg	Nyindu
njz	Nyishi
xny	Nyiyaparli
nvo	Nyokon
nuj	Nyole
muo	Nyong
nyd	Nyore
nyo	Nyoro
nyv	Nyulnyul
nys	Nyunga
nyu	Nyungwe
nzy	Nzakambay
nzk	Nzakara
nja	Nzanyi
nzi	Nzima
ngh	N?uu
xoc	O'chi'chi'
tyh	O'du
ood	O'odham
bzy	Obanliku
obi	Obispe?o
obl	Oblo
obo	Obo Manobo
afz	Obokuitai
ann	Obolo
obu	Obulom
oca	Ocaina
oc	Occitan
mie	Ocotepec Mixtec
zac	Ocotl?n Zapotec
odk	Od
bhf	Odiai
kkc	Odoodee
odu	Odual
oda	Odut
opy	Ofay?
ofo	Ofo
ogc	Ogbah
ogb	Ogbia
ogg	Ogbogolo
ogu	Ogbronuagum
eri	Ogea
oia	Oirata
oj	Ojibwe
chj	Ojitl?n Chinantec
oka	Okanagan
okn	Oki-No-Erabu
oki	Okiek
ryu	Okinawan
oks	Oko-Eni-Osayen
okj	Oko-Juwoi
okb	Okobo
okd	Okodia
kqv	Okolod
opa	Okpamheri
atg	Okpela
opm	Oksapmin
oku	Oku
xcl	Old Armenian
oav	Old Avar
obt	Old Breton
obr	Old Burmese
roa-oca	Old Catalan
och	Old Chinese
cu	Old Church Slavonic
oco	Old Cornish
gmq-oda	Old Danish
odt	Old Dutch
orv	Old East Slavic
ang	Old English
fro	Old French
ofs	Old Frisian
oge	Old Georgian
goh	Old High German
oht	Old Hittite
ohu	Old Hungarian
sga	Old Irish
roa-oit	Old Italian
ojp	Old Japanese
kaw	Old Javanese
okl	Old Kentish Sign Language
oko	Old Korean
itc-ola	Old Latin
roa-ole	Old Leonese
olt	Old Lithuanian
omp	Old Manipuri
omr	Old Marathi
omx	Old Mon
non	Old Norse
onw	Old Nubian
oos	Old Ossetic
peo	Old Persian
zlw-opl	Old Polish
roa-opt	Old Portuguese
pro	Old Proven?al
prg	Old Prussian
osx	Old Saxon
sem-srb	Old South Arabian
osp	Old Spanish
gmq-osw	Old Swedish
oty	Old Tamil
otb	Old Tibetan
tpw	Old Tupi
otk	Old Turkic
oui	Old Uighur
owl	Old Welsh
ole	Olekha
ong	Olo
olm	Oloma
olr	Olrat
lul	Olu'bo
iko	Olulumo-Ikom
plo	Oluta Popoluca
lto	Olutsotso
lwg	Oluwanga
omg	Omagua
oma	Omaha-Ponca
acx	Omani Arabic
mgx	Omati
omb	Omba
mbm	Ombamba
oml	Ombo
ome	Omejes
nht	Ometepec Nahuatl
omi	Omi
aom	?mie
omk	Omok
omt	Omotik
omu	Omurano
one	Oneida
oog	Ong
oon	?nge
bxe	Ongota
oni	Onin
onx	Onin Based Pidgin
onj	Onjob
ons	Ono
onn	Onobasulu
ono	Onondaga
ont	Ontenu
ojv	Ontong Java
oor	Oorlams
opo	Opao
opt	Opata
lgn	Opuuo
orn	Orang Kanaq
ors	Orang Seletar
sdr	Oraon Sadri
ore	Orej?n
org	Oring
or	Oriya
nlv	Orizaba Nahuatl
orz	Ormu
oru	Ormuri
orx	Oro
orw	Oro Win
oac	Oroch
ora	Oroha
oaa	Orok
okv	Orokaiva
bdu	Oroko
oro	Orokolo
om	Oromo
orh	Oroqen
bpk	Orowe
orr	Oruma
ury	Orya
osa	Osage
ost	Osatu
osc	Oscan
osi	Osing
oso	Ososo
os	Ossetian
otd	Ot Danum
uta	Otank
oti	Oti
otr	Otoro
otw	Ottawa
ota	Ottoman Turkish
otu	Otuke
oum	Ouma
oue	Oune
stn	Owa
wsr	Owenia
owi	Owiniga
oyb	Oy
oyy	Oya'oya
oyd	Oyda
zao	Ozolotepec Zapotec
chz	Ozumac?n Chinantec
pdi	Pa Di
pha	Pa-Hng
pqa	Pa'a
blk	Pa'o Karen
pfa	P??fang
pma	Paama
sig	Paasaal
pcp	Pacahuara
pac	Pacoh
pdo	Padoe
pgn	Paelignian
pbb	P?ez
pgi	Pagi
pae	Pagibete
pgu	Pagu
apf	Pahanan Agta
phr	Pahari-Potwari
lgt	Pahi
phv	Pahlavani
pta	Pai Tavytera
pri	Paic?
ppi	Paipai
pck	Paite Chin
pwn	Paiwan
pkg	Pak-Tong
pkn	Pakanha
pks	Pakistan Sign Language
pku	Paku
kpp	Paku Karen
abw	Pal
plq	Palaic
plr	Palaka Senoufo
cpa	Palantla Chinantec
pfl	Palatinate German
pau	Palauan
pln	Palenquero
pi	Pali
plu	Palikur
pcf	Paliyan
pmd	Pallanganmiddang
fap	Palor
plp	Palpa
ple	Palu'e
plz	Paluan
pmc	Palumata
bpx	Palya Bareli
pmn	Pam
pmb	Pambia
pmk	Pamlico
pmf	Pamona
hih	Pamosu
att	Pamplona Atta
pnz	Pana (Central Africa)
pnq	Pana (West Africa)
lsp	Panamanian Sign Language
par	Panamint
kre	Panar?
pbh	Panare
psn	Panasuan
pwb	Panawa
pnp	Pancana
tdb	Panchpargania
bkj	Pande
pag	Pangasinan
pgs	Pangseng
slm	Pangutaran Sama
pbr	Pangwa
pgg	Pangwali
pnr	Panim
pcg	Paniya
pax	Pankarar?
paz	Pankarar?
pkh	Pankhu
pnc	Pannei
knt	Panoan Katuk?na
pno	Panobo
pnw	Panyjima
ppa	Pao
top	Papantla Totonac
ppn	Papapana
dpp	Papar
pas	Papasena
pbo	Papel
ppe	Papi
pap	Papiamentu
pat	Papitalai
ppu	Papora
gim	Papuan Gimi
pmy	Papuan Malay
moq	Papuan Mor
ppm	Papuma
aap	Par? Ar?ra
gvp	Par? Gavi?o
pzn	Para Naga
prc	Parachi
gug	Paraguayan Guaran?
pys	Paraguayan Sign Language
pak	Parakan?
prf	Paranan
paf	Paranaw?t
pbg	Paraujano
prk	Parauk
prw	Parawen
pch	Pardhan
pcl	Pardhi
ppt	Pare
pab	Pareci
pcj	Parenga
lkr	P?ri
kvx	Parkari Koli
prp	Parsi
prd	Parsi-Dari
xpr	Parthian
paq	Parya
ps	Pashto
psq	Pasi
yac	Pass Valley Yali
pbc	Patamona
ptn	Patani
pth	Patax? H?-Ha-H?e
ptp	Patep
pty	Pathiya
gfk	Patpatar
lae	Pattani
mfa	Pattani Malay
pwi	Patwin
plh	Paulohi
pad	Paumar?
pnk	Paunaca
bfb	Pauri Bareli
psm	Pauserna
pwa	Pawaia
paw	Pawnee
pmr	Paynamar
pai	Pe
pcb	Pear
pay	Pech
xpc	Pecheneg
pfe	Peere
ppq	Pei
pel	Pekal
bxd	Pela
ata	Pele-Ata
ppp	Pelende
aoc	Pemon
pev	P?mono
psg	Penang Sign Language
pek	Penchal
ums	Pendau
peg	Pengo
pdc	Pennsylvania German
aaq	Penobscot
mil	Pe?oles Mixtec
pnh	Penrhyn
ptw	Pentlatch
wet	Perai
pea	Peranakan Indonesian
wom	Perema
pip	Pero
fa	Persian
psc	Persian Sign Language
prl	Peruvian Sign Language
zpe	Petapa Zapotec
pex	Petats
pey	Petjo
lme	P?v?
prt	Phai
phk	Phake
ypa	Phala
phl	Phalura
phq	Phana'
phw	Phangduwali
pem	Phende
psp	Philippine Sign Language
phm	Phimbi
phn	Phoenician
ypg	Phola
yip	Pholo
nph	Phom
pnx	Phong-Kniang
kjt	Phrae Pwo Karen
xpg	Phrygian
pht	Phu Thai
phu	Phuan
phd	Phudagi
pug	Phuie
phh	Phukha
ypm	Phuma
pho	Phunoi
phg	Phuong
ypp	Phupa
yph	Phupha
bnt-phu	Phuthi
ypz	Phuza
ptr	Piamatsina
pin	Piame
pio	Piapoco
pid	Piaroa
pcd	Picard
fpe	Pichinglis
cpu	Pichis Ash?ninka
xpi	Pictish
nai-pic	Picuris
dep	Pidgin Delaware
pms	Piedmontese
pij	Pijao
piz	Pije
pis	Pijin
plg	Pilag?
piv	Pileni
pia	Pima Bajo
piw	Pimbwe
pnn	Pinai-Hagahai
pif	Pingelapese
pii	Pini
pnv	Pinigura
pnj	Pinjarup
pic	Pinji
mio	Pinotepa Nacional Mixtec
pti	Pintiini
piu	Pintupi-Luritja
pny	Pinyin
ppl	Pipil
myp	Pirah?
pir	Piratapuyo
bxi	Pirlatapa
pie	Piro
xpa	Pirriya
pig	Pisabo
tpp	Pisaflores Tepehua
psy	Piscataway
xps	Pisidian
pih	Pitcairn-Norfolk
sje	Pite Sami
pcn	Piti
pjt	Pitjantjatjara
pit	Pitta-Pitta
pix	Piu
piy	Piya-Kwonci
apk	Plains Apache
crk	Plains Cree
psd	Plains Indian Sign Language
pmw	Plains Miwok
ktj	Plapo Krumen
pdt	Plautdietsch
gob	Playero
pbv	Pnar
npo	Pochuri Naga
xpo	Pochutec
pbi	Podoko
poy	Pogolo
pon	Pohnpeian
pok	Pokang?
pof	Poke
pko	P?koot
pox	Polabian
plj	Polci
pl	Polish
pso	Polish Sign Language
plb	Polonombauk
pmo	Pom
zlw-pom	Pomeranian
pmm	Pomo
ncc	Ponam
pod	Ponares
png	Pongu
pns	Ponosakan
pnt	Pontic Greek
poc	Poqomam
poh	Poqomchi'
prh	Porohanon
psw	Port Sandwich
ptv	Port Vato
pt	Portuguese
psr	Portuguese Sign Language
pot	Potawatomi
pog	Potigu?ra
gdb	Pottangi Ollar Gadaba
pmx	Poumei Naga
bye	Pouye
pwr	Powari
pim	Powhatan
pyn	Poyan?wa
prn	Prasuni
pry	Pray
pgl	Primitive Irish
pre	Principense
afa-pro	Proto-Afro-Asiatic
sqj-pro	Proto-Albanian
aql-pro	Proto-Algic
alg-pro	Proto-Algonquian
tut-pro	Proto-Altaic
ine-ana-pro	Proto-Anatolian
hyx-pro	Proto-Armenian
map-ata-pro	Proto-Atayalic
ath-pro	Proto-Athabaskan
aav-pro	Proto-Austro-Asiatic
map-pro	Proto-Austronesian
bat-pro	Proto-Baltic
ine-bsl-pro	Proto-Balto-Slavic
bnt-pro	Proto-Bantu
euq-pro	Proto-Basque
ber-pro	Proto-Berber
cel-bry-pro	Proto-Brythonic
poz-btk-pro	Proto-Bungku-Tolaki
cel-pro	Proto-Celtic
plf-pro	Proto-Central Malayo-Polynesian
aus-cww-pro	Proto-Central New South Wales
poz-cet-pro	Proto-Central-Eastern Malayo-Polynesian
cmc-pro	Proto-Chamic
qfa-cka-pro	Proto-Chukotko-Kamchatkan
cau-cir-pro	Proto-Circassian
azc-cup-pro	Proto-Cupan
dra-pro	Proto-Dravidian
pqe-pro	Proto-Eastern Malayo-Polynesian
poz-pep-pro	Proto-Eastern Polynesian
esx-esk-pro	Proto-Eskimo
esx-pro	Proto-Eskimo-Aleut
fiu-fin-pro	Proto-Finnic
fiu-fpr-pro	Proto-Finno-Permic
fiu-pro	Proto-Finno-Ugric
gem-pro	Proto-Germanic
poz-hce-pro	Proto-Halmahera-Cenderawasih
grk-pro	Proto-Hellenic
hmn-pro	Proto-Hmong
hmx-pro	Proto-Hmong-Mien
inc-pro	Proto-Indo-Aryan
ine-pro	Proto-Indo-European
iir-pro	Proto-Indo-Iranian
esx-inu-pro	Proto-Inuit
